query,dataset,run_number,vanilla_time_sec,listener_time_sec,diff_sec,percent_diff
1.sql,tpch,1,30.51,34.51,4,13.1105
10.sql,tpch,1,22.50,26.22,3.72,16.5333
1.sql,tpch,1,30.90,34.33,3.43,11.1003
10.sql,tpch,1,21.01,25.96,4.95,23.5602
11.sql,tpch,1,12.09,15.44,3.35,27.7089
12.sql,tpch,1,19.30,22.92,3.62,18.7565
13.sql,tpch,1,17.82,21.99,4.17,23.4007
14.sql,tpch,1,15.67,18.11,2.44,15.5712
15.sql,tpch,1,16.14,21.47,5.33,33.0235
16.sql,tpch,1,17.26,20.98,3.72,21.5527
17.sql,tpch,1,33.93,37.75,3.82,11.2585
18.sql,tpch,1,36.54,38.49,1.95,5.33662
19.sql,tpch,1,16.68,17.84,1.16,6.95444
2.sql,tpch,1,17.61,20.86,3.25,18.4554
20.sql,tpch,1,17.97,20.35,2.38,13.2443
21.sql,tpch,1,33.70,40.26,6.56,19.4659
22.sql,tpch,1,14.93,17.86,2.93,19.6249
3.sql,tpch,1,22.54,28.27,5.73,25.4215
4.sql,tpch,1,20.35,26.69,6.34,31.1548
5.sql,tpch,1,27.54,37.16,9.62,34.931
6.sql,tpch,1,11.27,14.56,3.29,29.1925
7.sql,tpch,1,32.72,32.12,-0.6,-1.83374
8.sql,tpch,1,25.39,27.78,2.39,9.41315
9.sql,tpch,1,32.22,35.54,3.32,10.3042
query1.sql,tpcds,1,15.68,18.77,3.09,19.7066
query10.sql,tpcds,1,16.77,20.75,3.98,23.7329
query11.sql,tpcds,1,28.70,32.97,4.27,14.878
query12.sql,tpcds,1,14.04,17.12,3.08,21.9373
query13.sql,tpcds,1,14.54,16.90,2.36,16.2311
query14.sql,tpcds,1,fail,11.43,fail,fail
query15.sql,tpcds,1,14.61,17.16,2.55,17.4538
query16.sql,tpcds,1,16.32,19.04,2.72,16.6667
query17.sql,tpcds,1,30.55,34.20,3.65,11.9476
query18.sql,tpcds,1,15.17,18.79,3.62,23.8629
query19.sql,tpcds,1,14.12,17.42,3.3,23.3711
query2.sql,tpcds,1,14.06,17.80,3.74,26.6003
query20.sql,tpcds,1,13.62,17.45,3.83,28.1204
query21.sql,tpcds,1,13.58,16.28,2.7,19.8822
query22.sql,tpcds,1,14.42,17.51,3.09,21.4286
query23.sql,tpcds,1,fail,11.42,fail,fail
query24.sql,tpcds,1,fail,11.66,fail,fail
query25.sql,tpcds,1,30.50,33.98,3.48,11.4098
query26.sql,tpcds,1,13.92,17.17,3.25,23.3477
query27.sql,tpcds,1,14.77,17.68,2.91,19.7021
query28.sql,tpcds,1,22.23,25.47,3.24,14.5749
query29.sql,tpcds,1,31.21,33.67,2.46,7.88209
query3.sql,tpcds,1,12.71,15.84,3.13,24.6263
query30.sql,tpcds,1,fail,11.38,fail,fail
query31.sql,tpcds,1,20.94,23.47,2.53,12.0821
query32.sql,tpcds,1,13.64,16.98,3.34,24.4868
query33.sql,tpcds,1,16.49,19.54,3.05,18.4961
query34.sql,tpcds,1,13.85,17.84,3.99,28.8087
query35.sql,tpcds,1,16.79,20.73,3.94,23.4663
query36.sql,tpcds,1,13.88,17.57,3.69,26.585
query37.sql,tpcds,1,14.89,18.64,3.75,25.1847
query38.sql,tpcds,1,21.93,23.28,1.35,6.15595
query39.sql,tpcds,1,fail,11.32,fail,fail
query4.sql,tpcds,1,39.47,42.21,2.74,6.94198
query40.sql,tpcds,1,18.99,23.31,4.32,22.7488
query41.sql,tpcds,1,9.80,13.61,3.81,38.8776
query42.sql,tpcds,1,12.24,15.36,3.12,25.4902
query43.sql,tpcds,1,13.05,15.74,2.69,20.613
query44.sql,tpcds,1,15.24,18.18,2.94,19.2913
query45.sql,tpcds,1,13.63,16.68,3.05,22.3771
query46.sql,tpcds,1,14.80,18.17,3.37,22.7703
query47.sql,tpcds,1,20.08,23.73,3.65,18.1773
query48.sql,tpcds,1,14.64,18.17,3.53,24.112
query49.sql,tpcds,1,22.31,24.83,2.52,11.2954
query5.sql,tpcds,1,19.72,24.01,4.29,21.7546
query50.sql,tpcds,1,21.42,26.29,4.87,22.7358
query51.sql,tpcds,1,25.14,28.80,3.66,14.5585
query52.sql,tpcds,1,12.89,15.69,2.8,21.7223
query53.sql,tpcds,1,14.20,17.82,3.62,25.493
query54.sql,tpcds,1,17.92,20.73,2.81,15.6808
query55.sql,tpcds,1,13.82,16.74,2.92,21.1288
query56.sql,tpcds,1,16.06,19.55,3.49,21.731
query57.sql,tpcds,1,14.16,18.36,4.2,29.661
query58.sql,tpcds,1,18.29,19.57,1.28,6.99836
query59.sql,tpcds,1,15.42,19.68,4.26,27.6265
query6.sql,tpcds,1,21.30,25.62,4.32,20.2817
query60.sql,tpcds,1,16.75,19.71,2.96,17.6716
query61.sql,tpcds,1,10.07,13.26,3.19,31.6783
query62.sql,tpcds,1,13.80,17.01,3.21,23.2609
query63.sql,tpcds,1,13.36,16.79,3.43,25.6737
query64.sql,tpcds,1,38.72,42.76,4.04,10.4339
query65.sql,tpcds,1,18.75,21.97,3.22,17.1733
query66.sql,tpcds,1,16.22,18.66,2.44,15.0432
query67.sql,tpcds,1,fail,11.31,fail,fail
query68.sql,tpcds,1,14.71,17.71,3,20.3943
query69.sql,tpcds,1,11.71,14.33,2.62,22.374
query7.sql,tpcds,1,15.14,18.43,3.29,21.7305
query70.sql,tpcds,1,15.26,18.36,3.1,20.3145
query71.sql,tpcds,1,14.80,19.36,4.56,30.8108
query72.sql,tpcds,1,36.55,40.98,4.43,12.1204
query73.sql,tpcds,1,13.93,18.24,4.31,30.9404
query74.sql,tpcds,1,29.33,31.38,2.05,6.98943
query75.sql,tpcds,1,27.12,31.01,3.89,14.3437
query76.sql,tpcds,1,14.90,17.81,2.91,19.5302
query77.sql,tpcds,1,17.72,20.30,2.58,14.5598
query78.sql,tpcds,1,39.04,42.04,3,7.68443
query79.sql,tpcds,1,13.87,17.60,3.73,26.8926
query8.sql,tpcds,1,14.28,16.93,2.65,18.5574
query80.sql,tpcds,1,36.15,42.30,6.15,17.0124
query81.sql,tpcds,1,15.42,17.53,2.11,13.6835
query82.sql,tpcds,1,15.95,18.72,2.77,17.3668
query83.sql,tpcds,1,14.99,18.91,3.92,26.1508
query84.sql,tpcds,1,13.75,17.04,3.29,23.9273
query85.sql,tpcds,1,18.10,21.49,3.39,18.7293
query86.sql,tpcds,1,13.44,16.82,3.38,25.1488
query87.sql,tpcds,1,20.95,23.42,2.47,11.79
query88.sql,tpcds,1,17.33,20.24,2.91,16.7917
query89.sql,tpcds,1,14.34,17.26,2.92,20.3626
query9.sql,tpcds,1,14.89,17.53,2.64,17.73
query90.sql,tpcds,1,12.51,15.46,2.95,23.5811
query91.sql,tpcds,1,12.35,15.70,3.35,27.1255
query92.sql,tpcds,1,14.64,17.21,2.57,17.5546
query93.sql,tpcds,1,25.99,30.19,4.2,16.1601
query94.sql,tpcds,1,21.40,22.53,1.13,5.28037
query95.sql,tpcds,1,25.80,28.41,2.61,10.1163
query96.sql,tpcds,1,11.76,14.48,2.72,23.1293
query97.sql,tpcds,1,21.14,23.03,1.89,8.9404
query98.sql,tpcds,1,14.57,17.38,2.81,19.2862
query99.sql,tpcds,1,13.85,16.48,2.63,18.9892
1.sql,tpch,2,31.61,36.84,5.23,16.5454
10.sql,tpch,2,22.65,26.30,3.65,16.1148
11.sql,tpch,2,12.05,15.38,3.33,27.6349
12.sql,tpch,2,20.47,22.21,1.74,8.50024
13.sql,tpch,2,17.82,22.99,5.17,29.0123
14.sql,tpch,2,15.52,18.30,2.78,17.9124
15.sql,tpch,2,16.92,20.63,3.71,21.9267
16.sql,tpch,2,18.60,20.95,2.35,12.6344
17.sql,tpch,2,34.56,40.06,5.5,15.9144
18.sql,tpch,2,35.73,38.85,3.12,8.73216
19.sql,tpch,2,15.37,17.84,2.47,16.0703
2.sql,tpch,2,17.10,20.45,3.35,19.5906
20.sql,tpch,2,17.01,20.14,3.13,18.4009
21.sql,tpch,2,35.56,36.84,1.28,3.59955
22.sql,tpch,2,16.66,18.78,2.12,12.7251
3.sql,tpch,2,22.07,25.02,2.95,13.3666
4.sql,tpch,2,18.72,25.56,6.84,36.5385
5.sql,tpch,2,34.93,38.11,3.18,9.10392
6.sql,tpch,2,11.90,14.83,2.93,24.6218
7.sql,tpch,2,28.73,30.01,1.28,4.45527
8.sql,tpch,2,25.03,29.93,4.9,19.5765
9.sql,tpch,2,31.94,36.34,4.4,13.7758
query1.sql,tpcds,2,15.71,18.43,2.72,17.3138
query10.sql,tpcds,2,17.46,20.54,3.08,17.6403
query11.sql,tpcds,2,28.87,31.49,2.62,9.07516
query12.sql,tpcds,2,13.92,16.90,2.98,21.408
query13.sql,tpcds,2,14.28,16.94,2.66,18.6275
query14.sql,tpcds,2,fail,11.41,fail,fail
query15.sql,tpcds,2,14.33,17.41,3.08,21.4934
query16.sql,tpcds,2,16.68,19.24,2.56,15.3477
query17.sql,tpcds,2,31.07,34.98,3.91,12.5845
query18.sql,tpcds,2,14.62,18.54,3.92,26.8126
query19.sql,tpcds,2,14.83,17.40,2.57,17.3297
query2.sql,tpcds,2,14.18,17.43,3.25,22.9196
query20.sql,tpcds,2,13.28,17.15,3.87,29.1416
query21.sql,tpcds,2,13.48,15.94,2.46,18.2493
query22.sql,tpcds,2,14.44,18.22,3.78,26.1773
query23.sql,tpcds,2,fail,11.53,fail,fail
query24.sql,tpcds,2,fail,10.88,fail,fail
query25.sql,tpcds,2,32.64,35.56,2.92,8.94608
query26.sql,tpcds,2,14.59,17.18,2.59,17.7519
query27.sql,tpcds,2,15.61,18.27,2.66,17.0404
query28.sql,tpcds,2,21.94,26.32,4.38,19.9635
query29.sql,tpcds,2,30.35,34.23,3.88,12.7842
query3.sql,tpcds,2,12.92,15.95,3.03,23.452
query30.sql,tpcds,2,fail,11.26,fail,fail
query31.sql,tpcds,2,19.73,25.65,5.92,30.0051
query32.sql,tpcds,2,14.35,16.91,2.56,17.8397
query33.sql,tpcds,2,16.06,19.34,3.28,20.4234
query34.sql,tpcds,2,14.49,17.79,3.3,22.7743
query35.sql,tpcds,2,18.46,20.38,1.92,10.4009
query36.sql,tpcds,2,14.12,17.23,3.11,22.0255
query37.sql,tpcds,2,15.44,18.13,2.69,17.4223
query38.sql,tpcds,2,19.43,24.68,5.25,27.0201
query39.sql,tpcds,2,fail,11.19,fail,fail
query4.sql,tpcds,2,39.00,42.45,3.45,8.84615
query40.sql,tpcds,2,20.29,24.08,3.79,18.6792
query41.sql,tpcds,2,10.09,13.26,3.17,31.4172
query42.sql,tpcds,2,12.18,15.99,3.81,31.2808
query43.sql,tpcds,2,13.10,16.37,3.27,24.9618
query44.sql,tpcds,2,15.43,18.04,2.61,16.9151
query45.sql,tpcds,2,13.22,16.70,3.48,26.3238
query46.sql,tpcds,2,14.32,17.70,3.38,23.6034
query47.sql,tpcds,2,18.91,23.02,4.11,21.7345
query48.sql,tpcds,2,15.71,17.99,2.28,14.513
query49.sql,tpcds,2,20.67,25.18,4.51,21.8191
query5.sql,tpcds,2,20.19,22.58,2.39,11.8375
query50.sql,tpcds,2,21.61,24.78,3.17,14.6691
query51.sql,tpcds,2,25.61,28.14,2.53,9.87895
query52.sql,tpcds,2,13.02,16.14,3.12,23.9631
query53.sql,tpcds,2,14.49,17.26,2.77,19.1166
query54.sql,tpcds,2,18.12,21.11,2.99,16.5011
query55.sql,tpcds,2,13.68,16.63,2.95,21.5643
query56.sql,tpcds,2,15.11,18.55,3.44,22.7664
query57.sql,tpcds,2,14.58,17.75,3.17,21.7421
query58.sql,tpcds,2,15.91,20.24,4.33,27.2156
query59.sql,tpcds,2,15.20,18.68,3.48,22.8947
query6.sql,tpcds,2,21.23,23.22,1.99,9.37353
query60.sql,tpcds,2,16.81,19.27,2.46,14.6341
query61.sql,tpcds,2,10.56,13.69,3.13,29.6402
query62.sql,tpcds,2,13.74,16.50,2.76,20.0873
query63.sql,tpcds,2,13.45,16.91,3.46,25.7249
query64.sql,tpcds,2,39.06,41.29,2.23,5.70917
query65.sql,tpcds,2,19.65,22.35,2.7,13.7405
query66.sql,tpcds,2,16.34,18.40,2.06,12.6071
query67.sql,tpcds,2,fail,11.21,fail,fail
query68.sql,tpcds,2,14.76,17.56,2.8,18.9702
query69.sql,tpcds,2,11.65,14.59,2.94,25.2361
query7.sql,tpcds,2,15.72,18.54,2.82,17.9389
query70.sql,tpcds,2,14.96,18.24,3.28,21.9251
query71.sql,tpcds,2,15.08,19.09,4.01,26.5915
query72.sql,tpcds,2,37.56,39.68,2.12,5.6443
query73.sql,tpcds,2,13.77,17.62,3.85,27.9593
query74.sql,tpcds,2,28.87,31.64,2.77,9.59474
query75.sql,tpcds,2,28.79,30.02,1.23,4.27232
query76.sql,tpcds,2,15.33,18.24,2.91,18.9824
query77.sql,tpcds,2,17.44,19.03,1.59,9.11697
query78.sql,tpcds,2,36.89,42.99,6.1,16.5356
query79.sql,tpcds,2,13.84,17.44,3.6,26.0116
query8.sql,tpcds,2,14.54,17.10,2.56,17.6066
query80.sql,tpcds,2,38.65,40.10,1.45,3.75162
query81.sql,tpcds,2,14.74,17.73,2.99,20.2849
query82.sql,tpcds,2,16.56,19.41,2.85,17.2101
query83.sql,tpcds,2,14.63,18.58,3.95,26.9993
query84.sql,tpcds,2,14.42,17.09,2.67,18.516
query85.sql,tpcds,2,17.67,21.61,3.94,22.2977
query86.sql,tpcds,2,14.14,16.20,2.06,14.5686
query87.sql,tpcds,2,20.11,23.89,3.78,18.7966
query88.sql,tpcds,2,17.05,19.86,2.81,16.4809
query89.sql,tpcds,2,14.42,17.51,3.09,21.4286
query9.sql,tpcds,2,14.65,18.12,3.47,23.686
query90.sql,tpcds,2,12.31,15.24,2.93,23.8018
query91.sql,tpcds,2,12.99,16.22,3.23,24.8653
query92.sql,tpcds,2,14.20,17.22,3.02,21.2676
query93.sql,tpcds,2,27.27,33.00,5.73,21.0121
query94.sql,tpcds,2,20.74,23.87,3.13,15.0916
query95.sql,tpcds,2,25.26,29.24,3.98,15.7561
query96.sql,tpcds,2,11.39,14.91,3.52,30.9043
query97.sql,tpcds,2,21.04,25.08,4.04,19.2015
query98.sql,tpcds,2,14.86,17.42,2.56,17.2275
query99.sql,tpcds,2,14.40,16.97,2.57,17.8472
1.sql,tpch,3,31.70,33.73,2.03,6.40379
10.sql,tpch,3,20.64,25.20,4.56,22.093
11.sql,tpch,3,11.96,15.26,3.3,27.592
12.sql,tpch,3,18.87,21.35,2.48,13.1426
13.sql,tpch,3,18.01,21.39,3.38,18.7674
14.sql,tpch,3,15.17,18.64,3.47,22.8741
15.sql,tpch,3,16.47,21.32,4.85,29.4475
16.sql,tpch,3,17.45,19.93,2.48,14.212
17.sql,tpch,3,34.56,37.97,3.41,9.8669
18.sql,tpch,3,36.06,38.14,2.08,5.76816
19.sql,tpch,3,14.94,18.38,3.44,23.0254
2.sql,tpch,3,16.25,19.94,3.69,22.7077
20.sql,tpch,3,17.56,21.06,3.5,19.9317
21.sql,tpch,3,36.36,37.73,1.37,3.76788
22.sql,tpch,3,15.80,19.65,3.85,24.3671
3.sql,tpch,3,22.00,25.53,3.53,16.0455
4.sql,tpch,3,26.33,24.25,-2.08,-7.89973
5.sql,tpch,3,34.93,36.03,1.1,3.14916
6.sql,tpch,3,11.59,14.59,3,25.8844
7.sql,tpch,3,27.36,30.03,2.67,9.75877
8.sql,tpch,3,24.80,30.49,5.69,22.9435
9.sql,tpch,3,33.58,36.94,3.36,10.006
query1.sql,tpcds,3,16.32,19.56,3.24,19.8529
query10.sql,tpcds,3,17.04,20.66,3.62,21.2441
query11.sql,tpcds,3,28.88,31.63,2.75,9.52216
query12.sql,tpcds,3,13.72,17.54,3.82,27.8426
query13.sql,tpcds,3,13.36,16.97,3.61,27.021
query14.sql,tpcds,3,fail,11.39,fail,fail
query15.sql,tpcds,3,14.42,17.12,2.7,18.724
query16.sql,tpcds,3,16.70,18.63,1.93,11.5569
query17.sql,tpcds,3,31.77,34.53,2.76,8.68744
query18.sql,tpcds,3,15.68,19.21,3.53,22.5128
query19.sql,tpcds,3,14.82,18.25,3.43,23.1444
query2.sql,tpcds,3,14.69,17.71,3.02,20.5582
query20.sql,tpcds,3,13.54,16.05,2.51,18.5377
query21.sql,tpcds,3,13.61,17.20,3.59,26.3777
query22.sql,tpcds,3,14.41,16.78,2.37,16.4469
query23.sql,tpcds,3,fail,11.38,fail,fail
query24.sql,tpcds,3,fail,10.94,fail,fail
query25.sql,tpcds,3,30.77,34.29,3.52,11.4397
query26.sql,tpcds,3,14.30,16.79,2.49,17.4126
query27.sql,tpcds,3,15.37,18.32,2.95,19.1932
query28.sql,tpcds,3,22.19,24.69,2.5,11.2663
query29.sql,tpcds,3,31.41,34.45,3.04,9.67845
query3.sql,tpcds,3,13.18,16.42,3.24,24.5827
query30.sql,tpcds,3,fail,11.65,fail,fail
query31.sql,tpcds,3,21.41,23.59,2.18,10.1822
query32.sql,tpcds,3,13.98,17.29,3.31,23.6767
query33.sql,tpcds,3,16.48,19.47,2.99,18.1432
query34.sql,tpcds,3,14.02,16.52,2.5,17.8317
query35.sql,tpcds,3,17.88,21.31,3.43,19.1834
query36.sql,tpcds,3,14.52,18.09,3.57,24.5868
query37.sql,tpcds,3,15.46,18.07,2.61,16.8823
query38.sql,tpcds,3,20.75,24.19,3.44,16.5783
query39.sql,tpcds,3,fail,11.38,fail,fail
query4.sql,tpcds,3,40.13,43.72,3.59,8.94593
query40.sql,tpcds,3,22.43,22.41,-0.02,-0.0891663
query41.sql,tpcds,3,9.65,13.33,3.68,38.1347
query42.sql,tpcds,3,12.42,15.45,3.03,24.3961
query43.sql,tpcds,3,12.91,15.92,3.01,23.3153
query44.sql,tpcds,3,15.33,18.20,2.87,18.7215
query45.sql,tpcds,3,13.98,16.91,2.93,20.9585
query46.sql,tpcds,3,14.32,17.84,3.52,24.581
query47.sql,tpcds,3,18.23,23.58,5.35,29.3472
query48.sql,tpcds,3,14.52,17.57,3.05,21.0055
query49.sql,tpcds,3,21.75,25.22,3.47,15.954
query5.sql,tpcds,3,19.64,22.83,3.19,16.2424
query50.sql,tpcds,3,23.54,24.18,0.64,2.71878
query51.sql,tpcds,3,24.46,27.13,2.67,10.9158
query52.sql,tpcds,3,12.90,15.39,2.49,19.3023
query53.sql,tpcds,3,13.69,17.10,3.41,24.9087
query54.sql,tpcds,3,18.54,20.96,2.42,13.0529
query55.sql,tpcds,3,12.90,16.56,3.66,28.3721
query56.sql,tpcds,3,15.42,19.95,4.53,29.3774
query57.sql,tpcds,3,14.92,17.98,3.06,20.5094
query58.sql,tpcds,3,18.01,19.80,1.79,9.93892
query59.sql,tpcds,3,15.99,18.80,2.81,17.5735
query6.sql,tpcds,3,22.92,25.26,2.34,10.2094
query60.sql,tpcds,3,16.22,20.03,3.81,23.4895
query61.sql,tpcds,3,10.61,13.65,3.04,28.6522
query62.sql,tpcds,3,13.96,17.54,3.58,25.6447
query63.sql,tpcds,3,14.60,17.58,2.98,20.411
query64.sql,tpcds,3,38.94,43.04,4.1,10.529
query65.sql,tpcds,3,19.67,22.25,2.58,13.1164
query66.sql,tpcds,3,15.87,19.19,3.32,20.92
query67.sql,tpcds,3,fail,11.38,fail,fail
query68.sql,tpcds,3,14.84,18.71,3.87,26.0782
query69.sql,tpcds,3,11.83,15.05,3.22,27.2189
query7.sql,tpcds,3,15.08,18.65,3.57,23.6737
query70.sql,tpcds,3,15.21,18.15,2.94,19.3294
query71.sql,tpcds,3,15.49,17.35,1.86,12.0077
query72.sql,tpcds,3,38.18,40.56,2.38,6.23363
query73.sql,tpcds,3,14.38,17.94,3.56,24.7566
query74.sql,tpcds,3,27.19,31.86,4.67,17.1754
query75.sql,tpcds,3,29.54,31.52,1.98,6.70278
query76.sql,tpcds,3,15.17,18.20,3.03,19.9736
query77.sql,tpcds,3,17.30,19.58,2.28,13.1792
query78.sql,tpcds,3,36.14,41.42,5.28,14.6099
query79.sql,tpcds,3,14.30,17.34,3.04,21.2587
query8.sql,tpcds,3,14.00,17.24,3.24,23.1429
query80.sql,tpcds,3,37.55,41.17,3.62,9.64048
query81.sql,tpcds,3,14.85,18.25,3.4,22.8956
query82.sql,tpcds,3,15.69,19.27,3.58,22.8171
query83.sql,tpcds,3,15.09,18.07,2.98,19.7482
query84.sql,tpcds,3,14.01,17.31,3.3,23.5546
query85.sql,tpcds,3,18.53,20.54,2.01,10.8473
query86.sql,tpcds,3,13.58,16.79,3.21,23.6377
query87.sql,tpcds,3,22.48,23.90,1.42,6.31673
query88.sql,tpcds,3,17.29,19.65,2.36,13.6495
query89.sql,tpcds,3,14.90,18.14,3.24,21.745
query9.sql,tpcds,3,15.36,17.24,1.88,12.2396
query90.sql,tpcds,3,12.48,15.86,3.38,27.0833
query91.sql,tpcds,3,12.68,15.52,2.84,22.3975
query92.sql,tpcds,3,14.99,17.51,2.52,16.8112
query93.sql,tpcds,3,31.42,34.88,3.46,11.0121
query94.sql,tpcds,3,19.91,23.16,3.25,16.3235
query95.sql,tpcds,3,25.19,28.87,3.68,14.609
query96.sql,tpcds,3,11.84,14.87,3.03,25.5912
query97.sql,tpcds,3,21.13,23.69,2.56,12.1155
query98.sql,tpcds,3,14.37,17.88,3.51,24.4259
query99.sql,tpcds,3,12.85,17.17,4.32,33.6187
