query,dataset,run_number,listener_nowrite_time
1.sql,tpch,1,31.05
10.sql,tpch,1,21.25
11.sql,tpch,1,12.00
12.sql,tpch,1,17.44
13.sql,tpch,1,18.27
14.sql,tpch,1,14.55
15.sql,tpch,1,16.89
16.sql,tpch,1,17.98
17.sql,tpch,1,34.47
18.sql,tpch,1,35.07
19.sql,tpch,1,14.20
2.sql,tpch,1,15.62
20.sql,tpch,1,16.68
21.sql,tpch,1,33.23
22.sql,tpch,1,14.17
3.sql,tpch,1,21.35
4.sql,tpch,1,26.14
5.sql,tpch,1,34.98
6.sql,tpch,1,11.72
7.sql,tpch,1,28.91
8.sql,tpch,1,24.07
9.sql,tpch,1,34.02
query1.sql,tpcds,1,15.66
query10.sql,tpcds,1,16.07
query11.sql,tpcds,1,28.48
query12.sql,tpcds,1,14.26
query13.sql,tpcds,1,14.41
query14.sql,tpcds,1,8.07
query15.sql,tpcds,1,13.66
query16.sql,tpcds,1,16.23
query17.sql,tpcds,1,29.79
query18.sql,tpcds,1,14.83
query19.sql,tpcds,1,15.31
query2.sql,tpcds,1,14.85
query20.sql,tpcds,1,14.18
query21.sql,tpcds,1,13.83
query22.sql,tpcds,1,14.26
query23.sql,tpcds,1,8.00
query24.sql,tpcds,1,8.41
query25.sql,tpcds,1,29.87
query26.sql,tpcds,1,14.16
query27.sql,tpcds,1,15.17
query28.sql,tpcds,1,19.91
query29.sql,tpcds,1,29.79
query3.sql,tpcds,1,12.46
query30.sql,tpcds,1,8.13
query31.sql,tpcds,1,19.87
query32.sql,tpcds,1,13.89
query33.sql,tpcds,1,15.86
query34.sql,tpcds,1,14.04
query35.sql,tpcds,1,17.20
query36.sql,tpcds,1,14.67
query37.sql,tpcds,1,14.99
query38.sql,tpcds,1,21.48
query39.sql,tpcds,1,8.38
query4.sql,tpcds,1,37.72
query40.sql,tpcds,1,19.38
query41.sql,tpcds,1,10.13
query42.sql,tpcds,1,12.97
query43.sql,tpcds,1,13.27
query44.sql,tpcds,1,14.70
query45.sql,tpcds,1,14.48
query46.sql,tpcds,1,14.92
query47.sql,tpcds,1,18.05
query48.sql,tpcds,1,15.08
query49.sql,tpcds,1,19.89
query5.sql,tpcds,1,19.98
query50.sql,tpcds,1,22.04
query51.sql,tpcds,1,23.30
query52.sql,tpcds,1,13.31
query53.sql,tpcds,1,14.09
query54.sql,tpcds,1,18.11
query55.sql,tpcds,1,13.28
query56.sql,tpcds,1,15.85
query57.sql,tpcds,1,14.76
query58.sql,tpcds,1,16.31
query59.sql,tpcds,1,16.16
query6.sql,tpcds,1,23.50
query60.sql,tpcds,1,16.77
query61.sql,tpcds,1,10.74
query62.sql,tpcds,1,13.78
query63.sql,tpcds,1,13.56
query64.sql,tpcds,1,37.59
query65.sql,tpcds,1,18.19
query66.sql,tpcds,1,16.64
query67.sql,tpcds,1,8.65
query68.sql,tpcds,1,14.83
query69.sql,tpcds,1,11.48
query7.sql,tpcds,1,16.30
query70.sql,tpcds,1,15.44
query71.sql,tpcds,1,14.78
query72.sql,tpcds,1,36.74
query73.sql,tpcds,1,14.76
query74.sql,tpcds,1,26.92
query75.sql,tpcds,1,25.40
query76.sql,tpcds,1,14.75
query77.sql,tpcds,1,18.26
query78.sql,tpcds,1,35.85
query79.sql,tpcds,1,14.27
query8.sql,tpcds,1,14.16
query80.sql,tpcds,1,35.31
query81.sql,tpcds,1,15.01
query82.sql,tpcds,1,16.17
query83.sql,tpcds,1,14.23
query84.sql,tpcds,1,14.01
query85.sql,tpcds,1,17.78
query86.sql,tpcds,1,13.61
query87.sql,tpcds,1,19.84
query88.sql,tpcds,1,16.50
query89.sql,tpcds,1,14.51
query9.sql,tpcds,1,14.75
query90.sql,tpcds,1,13.29
query91.sql,tpcds,1,12.93
query92.sql,tpcds,1,14.40
query93.sql,tpcds,1,28.68
query94.sql,tpcds,1,20.98
query95.sql,tpcds,1,25.30
query96.sql,tpcds,1,11.84
query97.sql,tpcds,1,19.51
query98.sql,tpcds,1,14.75
query99.sql,tpcds,1,13.86
1.sql,tpch,2,31.58
10.sql,tpch,2,21.07
11.sql,tpch,2,12.22
12.sql,tpch,2,17.14
13.sql,tpch,2,19.22
14.sql,tpch,2,14.94
15.sql,tpch,2,17.46
16.sql,tpch,2,18.02
17.sql,tpch,2,32.47
18.sql,tpch,2,32.95
19.sql,tpch,2,15.45
2.sql,tpch,2,15.33
20.sql,tpch,2,16.53
21.sql,tpch,2,32.71
22.sql,tpch,2,14.80
3.sql,tpch,2,21.09
4.sql,tpch,2,19.06
5.sql,tpch,2,25.58
6.sql,tpch,2,10.91
7.sql,tpch,2,28.62
8.sql,tpch,2,23.75
9.sql,tpch,2,30.72
query1.sql,tpcds,2,15.67
query10.sql,tpcds,2,16.27
query11.sql,tpcds,2,29.02
query12.sql,tpcds,2,14.54
query13.sql,tpcds,2,14.16
query14.sql,tpcds,2,8.25
query15.sql,tpcds,2,14.85
query16.sql,tpcds,2,15.65
query17.sql,tpcds,2,29.36
query18.sql,tpcds,2,15.37
query19.sql,tpcds,2,14.78
query2.sql,tpcds,2,14.33
query20.sql,tpcds,2,13.60
query21.sql,tpcds,2,13.08
query22.sql,tpcds,2,14.34
query23.sql,tpcds,2,8.21
query24.sql,tpcds,2,8.42
query25.sql,tpcds,2,28.93
query26.sql,tpcds,2,14.15
query27.sql,tpcds,2,15.91
query28.sql,tpcds,2,19.97
query29.sql,tpcds,2,29.28
query3.sql,tpcds,2,13.05
query30.sql,tpcds,2,8.50
query31.sql,tpcds,2,18.91
query32.sql,tpcds,2,14.22
query33.sql,tpcds,2,15.25
query34.sql,tpcds,2,13.80
query35.sql,tpcds,2,17.17
query36.sql,tpcds,2,14.16
query37.sql,tpcds,2,14.97
query38.sql,tpcds,2,19.42
query39.sql,tpcds,2,8.83
query4.sql,tpcds,2,38.63
query40.sql,tpcds,2,19.35
query41.sql,tpcds,2,10.39
query42.sql,tpcds,2,12.90
query43.sql,tpcds,2,13.33
query44.sql,tpcds,2,15.23
query45.sql,tpcds,2,13.52
query46.sql,tpcds,2,15.22
query47.sql,tpcds,2,18.42
query48.sql,tpcds,2,14.40
query49.sql,tpcds,2,21.46
query5.sql,tpcds,2,19.56
query50.sql,tpcds,2,25.55
query51.sql,tpcds,2,23.34
query52.sql,tpcds,2,12.65
query53.sql,tpcds,2,13.64
query54.sql,tpcds,2,18.43
query55.sql,tpcds,2,13.82
query56.sql,tpcds,2,16.10
query57.sql,tpcds,2,15.08
query58.sql,tpcds,2,16.36
query59.sql,tpcds,2,16.42
query6.sql,tpcds,2,19.80
query60.sql,tpcds,2,16.75
query61.sql,tpcds,2,10.33
query62.sql,tpcds,2,13.82
query63.sql,tpcds,2,13.67
query64.sql,tpcds,2,36.04
query65.sql,tpcds,2,18.82
query66.sql,tpcds,2,16.51
query67.sql,tpcds,2,8.08
query68.sql,tpcds,2,14.73
query69.sql,tpcds,2,12.10
query7.sql,tpcds,2,15.88
query70.sql,tpcds,2,15.56
query71.sql,tpcds,2,14.64
query72.sql,tpcds,2,36.62
query73.sql,tpcds,2,13.70
query74.sql,tpcds,2,28.24
query75.sql,tpcds,2,24.84
query76.sql,tpcds,2,15.49
query77.sql,tpcds,2,17.20
query78.sql,tpcds,2,36.31
query79.sql,tpcds,2,14.36
query8.sql,tpcds,2,14.29
query80.sql,tpcds,2,37.50
query81.sql,tpcds,2,14.51
query82.sql,tpcds,2,16.48
query83.sql,tpcds,2,15.03
query84.sql,tpcds,2,13.90
query85.sql,tpcds,2,18.25
query86.sql,tpcds,2,13.45
query87.sql,tpcds,2,19.91
query88.sql,tpcds,2,17.45
query89.sql,tpcds,2,14.11
query9.sql,tpcds,2,15.04
query90.sql,tpcds,2,12.95
query91.sql,tpcds,2,12.81
query92.sql,tpcds,2,14.12
query93.sql,tpcds,2,26.02
query94.sql,tpcds,2,19.80
query95.sql,tpcds,2,27.11
query96.sql,tpcds,2,11.55
query97.sql,tpcds,2,19.37
query98.sql,tpcds,2,14.88
query99.sql,tpcds,2,14.10
1.sql,tpch,3,31.91
10.sql,tpch,3,22.20
11.sql,tpch,3,12.46
12.sql,tpch,3,18.83
13.sql,tpch,3,18.17
14.sql,tpch,3,14.69
15.sql,tpch,3,16.38
16.sql,tpch,3,17.72
17.sql,tpch,3,34.60
18.sql,tpch,3,33.00
19.sql,tpch,3,15.00
2.sql,tpch,3,15.37
20.sql,tpch,3,16.53
21.sql,tpch,3,33.19
22.sql,tpch,3,15.81
3.sql,tpch,3,19.88
4.sql,tpch,3,26.93
5.sql,tpch,3,32.84
6.sql,tpch,3,12.06
7.sql,tpch,3,31.74
8.sql,tpch,3,25.30
9.sql,tpch,3,30.54
query1.sql,tpcds,3,15.22
query10.sql,tpcds,3,16.10
query11.sql,tpcds,3,27.55
query12.sql,tpcds,3,14.67
query13.sql,tpcds,3,14.69
query14.sql,tpcds,3,8.22
query15.sql,tpcds,3,14.48
query16.sql,tpcds,3,15.61
query17.sql,tpcds,3,30.03
query18.sql,tpcds,3,15.65
query19.sql,tpcds,3,14.14
query2.sql,tpcds,3,14.86
query20.sql,tpcds,3,13.47
query21.sql,tpcds,3,14.08
query22.sql,tpcds,3,15.19
query23.sql,tpcds,3,8.35
query24.sql,tpcds,3,8.39
query25.sql,tpcds,3,29.59
query26.sql,tpcds,3,14.87
query27.sql,tpcds,3,15.22
query28.sql,tpcds,3,19.35
query29.sql,tpcds,3,29.39
query3.sql,tpcds,3,12.56
query30.sql,tpcds,3,8.68
query31.sql,tpcds,3,20.16
query32.sql,tpcds,3,14.14
query33.sql,tpcds,3,16.05
query34.sql,tpcds,3,14.34
query35.sql,tpcds,3,17.12
query36.sql,tpcds,3,14.67
query37.sql,tpcds,3,15.63
query38.sql,tpcds,3,20.00
query39.sql,tpcds,3,8.41
query4.sql,tpcds,3,38.70
query40.sql,tpcds,3,19.45
query41.sql,tpcds,3,10.42
query42.sql,tpcds,3,12.71
query43.sql,tpcds,3,12.91
query44.sql,tpcds,3,15.19
query45.sql,tpcds,3,13.66
query46.sql,tpcds,3,14.51
query47.sql,tpcds,3,18.51
query48.sql,tpcds,3,13.88
query49.sql,tpcds,3,21.12
query5.sql,tpcds,3,19.30
query50.sql,tpcds,3,21.80
query51.sql,tpcds,3,22.64
query52.sql,tpcds,3,13.04
query53.sql,tpcds,3,14.03
query54.sql,tpcds,3,18.84
query55.sql,tpcds,3,13.41
query56.sql,tpcds,3,15.35
query57.sql,tpcds,3,14.99
query58.sql,tpcds,3,16.18
query59.sql,tpcds,3,16.24
query6.sql,tpcds,3,23.55
query60.sql,tpcds,3,16.69
query61.sql,tpcds,3,10.64
query62.sql,tpcds,3,14.30
query63.sql,tpcds,3,14.42
query64.sql,tpcds,3,36.86
query65.sql,tpcds,3,18.41
query66.sql,tpcds,3,16.62
query67.sql,tpcds,3,8.01
query68.sql,tpcds,3,15.95
query69.sql,tpcds,3,12.06
query7.sql,tpcds,3,15.93
query70.sql,tpcds,3,15.19
query71.sql,tpcds,3,14.87
query72.sql,tpcds,3,36.70
query73.sql,tpcds,3,14.10
query74.sql,tpcds,3,29.01
query75.sql,tpcds,3,24.82
query76.sql,tpcds,3,14.89
query77.sql,tpcds,3,16.51
query78.sql,tpcds,3,36.39
query79.sql,tpcds,3,14.67
query8.sql,tpcds,3,14.68
query80.sql,tpcds,3,35.16
query81.sql,tpcds,3,15.38
query82.sql,tpcds,3,16.38
query83.sql,tpcds,3,14.88
query84.sql,tpcds,3,14.25
query85.sql,tpcds,3,17.84
query86.sql,tpcds,3,13.90
query87.sql,tpcds,3,19.96
query88.sql,tpcds,3,16.73
query89.sql,tpcds,3,14.78
query9.sql,tpcds,3,15.01
query90.sql,tpcds,3,12.33
query91.sql,tpcds,3,12.94
query92.sql,tpcds,3,14.42
query93.sql,tpcds,3,31.08
query94.sql,tpcds,3,20.25
query95.sql,tpcds,3,26.08
query96.sql,tpcds,3,11.74
query97.sql,tpcds,3,21.10
query98.sql,tpcds,3,14.45
query99.sql,tpcds,3,13.83
1.sql,tpch,4,32.16
10.sql,tpch,4,22.37
11.sql,tpch,4,12.12
12.sql,tpch,4,17.92
13.sql,tpch,4,18.59
14.sql,tpch,4,14.40
15.sql,tpch,4,17.48
16.sql,tpch,4,18.09
17.sql,tpch,4,35.29
18.sql,tpch,4,34.70
19.sql,tpch,4,15.66
2.sql,tpch,4,16.00
20.sql,tpch,4,16.97
21.sql,tpch,4,32.02
22.sql,tpch,4,16.07
3.sql,tpch,4,20.33
4.sql,tpch,4,24.67
5.sql,tpch,4,23.94
6.sql,tpch,4,11.84
7.sql,tpch,4,33.70
8.sql,tpch,4,23.20
9.sql,tpch,4,31.98
query1.sql,tpcds,4,15.58
query10.sql,tpcds,4,15.60
query11.sql,tpcds,4,29.01
query12.sql,tpcds,4,13.89
query13.sql,tpcds,4,14.13
query14.sql,tpcds,4,8.08
query15.sql,tpcds,4,14.86
query16.sql,tpcds,4,15.48
query17.sql,tpcds,4,30.49
query18.sql,tpcds,4,15.63
query19.sql,tpcds,4,14.89
query2.sql,tpcds,4,14.30
query20.sql,tpcds,4,13.48
query21.sql,tpcds,4,13.43
query22.sql,tpcds,4,14.86
query23.sql,tpcds,4,8.36
query24.sql,tpcds,4,8.40
query25.sql,tpcds,4,29.73
query26.sql,tpcds,4,14.09
query27.sql,tpcds,4,14.91
query28.sql,tpcds,4,20.06
query29.sql,tpcds,4,29.78
query3.sql,tpcds,4,12.46
query30.sql,tpcds,4,8.46
query31.sql,tpcds,4,19.40
query32.sql,tpcds,4,13.98
query33.sql,tpcds,4,16.21
query34.sql,tpcds,4,13.82
query35.sql,tpcds,4,17.79
query36.sql,tpcds,4,14.70
query37.sql,tpcds,4,14.89
query38.sql,tpcds,4,20.04
query39.sql,tpcds,4,8.17
query4.sql,tpcds,4,37.13
query40.sql,tpcds,4,19.88
query41.sql,tpcds,4,10.36
query42.sql,tpcds,4,12.85
query43.sql,tpcds,4,13.66
query44.sql,tpcds,4,15.40
query45.sql,tpcds,4,13.85
query46.sql,tpcds,4,15.32
query47.sql,tpcds,4,18.82
query48.sql,tpcds,4,15.37
query49.sql,tpcds,4,20.56
query5.sql,tpcds,4,19.68
query50.sql,tpcds,4,22.50
query51.sql,tpcds,4,23.04
query52.sql,tpcds,4,13.28
query53.sql,tpcds,4,13.68
query54.sql,tpcds,4,17.94
query55.sql,tpcds,4,14.43
query56.sql,tpcds,4,15.63
query57.sql,tpcds,4,14.54
query58.sql,tpcds,4,16.67
query59.sql,tpcds,4,15.36
query6.sql,tpcds,4,19.22
query60.sql,tpcds,4,17.86
query61.sql,tpcds,4,10.54
query62.sql,tpcds,4,14.02
query63.sql,tpcds,4,13.49
query64.sql,tpcds,4,36.68
query65.sql,tpcds,4,18.02
query66.sql,tpcds,4,16.40
query67.sql,tpcds,4,8.32
query68.sql,tpcds,4,14.90
query69.sql,tpcds,4,11.61
query7.sql,tpcds,4,15.16
query70.sql,tpcds,4,15.53
query71.sql,tpcds,4,14.74
query72.sql,tpcds,4,35.76
query73.sql,tpcds,4,14.09
query74.sql,tpcds,4,27.27
query75.sql,tpcds,4,26.19
query76.sql,tpcds,4,15.04
query77.sql,tpcds,4,18.30
query78.sql,tpcds,4,36.83
query79.sql,tpcds,4,14.05
query8.sql,tpcds,4,14.42
query80.sql,tpcds,4,35.81
query81.sql,tpcds,4,14.97
query82.sql,tpcds,4,16.81
query83.sql,tpcds,4,15.40
query84.sql,tpcds,4,14.15
query85.sql,tpcds,4,17.91
query86.sql,tpcds,4,13.75
query87.sql,tpcds,4,19.85
query88.sql,tpcds,4,16.95
query89.sql,tpcds,4,14.51
query9.sql,tpcds,4,14.65
query90.sql,tpcds,4,12.94
query91.sql,tpcds,4,13.08
query92.sql,tpcds,4,14.75
query93.sql,tpcds,4,27.24
query94.sql,tpcds,4,19.73
query95.sql,tpcds,4,26.46
query96.sql,tpcds,4,11.57
query97.sql,tpcds,4,19.89
query98.sql,tpcds,4,14.45
query99.sql,tpcds,4,13.79
1.sql,tpch,5,31.81
10.sql,tpch,5,21.08
11.sql,tpch,5,12.18
12.sql,tpch,5,18.41
13.sql,tpch,5,19.64
14.sql,tpch,5,14.39
15.sql,tpch,5,17.95
16.sql,tpch,5,17.59
17.sql,tpch,5,33.19
18.sql,tpch,5,33.23
19.sql,tpch,5,15.78
2.sql,tpch,5,15.13
20.sql,tpch,5,17.25
21.sql,tpch,5,33.64
22.sql,tpch,5,16.24
3.sql,tpch,5,20.05
4.sql,tpch,5,25.82
5.sql,tpch,5,34.08
6.sql,tpch,5,12.19
7.sql,tpch,5,30.40
8.sql,tpch,5,24.50
9.sql,tpch,5,30.99
query1.sql,tpcds,5,15.43
query10.sql,tpcds,5,15.98
query11.sql,tpcds,5,27.92
query12.sql,tpcds,5,14.54
query13.sql,tpcds,5,14.23
query14.sql,tpcds,5,8.39
query15.sql,tpcds,5,14.13
query16.sql,tpcds,5,16.01
query17.sql,tpcds,5,30.81
query18.sql,tpcds,5,15.29
query19.sql,tpcds,5,14.19
query2.sql,tpcds,5,14.27
query20.sql,tpcds,5,13.22
query21.sql,tpcds,5,13.69
query22.sql,tpcds,5,14.39
query23.sql,tpcds,5,8.04
query24.sql,tpcds,5,8.00
query25.sql,tpcds,5,30.15
query26.sql,tpcds,5,14.06
query27.sql,tpcds,5,14.70
query28.sql,tpcds,5,20.01
query29.sql,tpcds,5,30.18
query3.sql,tpcds,5,13.10
query30.sql,tpcds,5,8.62
query31.sql,tpcds,5,19.51
query32.sql,tpcds,5,13.85
query33.sql,tpcds,5,16.20
query34.sql,tpcds,5,14.21
query35.sql,tpcds,5,16.94
query36.sql,tpcds,5,14.90
query37.sql,tpcds,5,14.88
query38.sql,tpcds,5,20.62
query39.sql,tpcds,5,8.20
query4.sql,tpcds,5,37.70
query40.sql,tpcds,5,21.38
query41.sql,tpcds,5,10.02
query42.sql,tpcds,5,12.62
query43.sql,tpcds,5,12.87
query44.sql,tpcds,5,14.74
query45.sql,tpcds,5,13.87
